symbol,date,price
IBM,Sep 2013,113.53
IBM,Oct 2013,90.24
IBM,Nov 2013,79.65
IBM,Dec 2013,82.15
IBM,Jan 2014,89.46
IBM,Feb 2014,90.32
IBM,Mar 2014,95.09
IBM,Apr 2014,101.29
IBM,May 2014,104.85
IBM,Jun 2014,103.01
IBM,Jul 2014,116.34
IBM,Aug 2014,117
IBM,Sep 2014,118.55
IBM,Oct 2014,119.54
IBM,Nov 2014,125.79
IBM,Dec 2014,130.32
IBM,Jan 2015,121.85
IBM,Feb 2015,127.16
IBM,Mar 2015,125.55
GOOG,Aug 2009,102.37
GOOG,Sep 2009,129.6
GOOG,Oct 2009,190.64
GOOG,Nov 2009,181.98
GOOG,Dec 2009,192.79
GOOG,Jan 2010,195.62
GOOG,Feb 2010,187.99
GOOG,Mar 2010,180.51
GOOG,Apr 2010,220
GOOG,May 2010,277.27
GOOG,Jun 2010,294.15
GOOG,Jul 2010,287.76
GOOG,Aug 2010,286
GOOG,Sep 2010,316.46
GOOG,Oct 2010,372.14
GOOG,Nov 2010,404.91
GOOG,Dec 2010,414.86
GOOG,Jan 2011,432.66
GOOG,Feb 2011,362.62
GOOG,Mar 2011,390
GOOG,Apr 2011,417.94
GOOG,May 2011,371.82
GOOG,Jun 2011,419.33
GOOG,Jul 2011,386.6
GOOG,Aug 2011,378.53
GOOG,Sep 2011,401.9
GOOG,Oct 2011,476.39
GOOG,Nov 2011,484.81
GOOG,Dec 2011,460.48
GOOG,Jan 2012,501.5
GOOG,Feb 2012,449.45
GOOG,Mar 2012,458.16
GOOG,Apr 2012,471.38
GOOG,May 2012,497.91
GOOG,Jun 2012,522.7
GOOG,Jul 2012,510
GOOG,Aug 2012,515.25
GOOG,Sep 2012,567.27
GOOG,Oct 2012,707
GOOG,Nov 2012,693
GOOG,Dec 2012,691.48
GOOG,Jan 2013,564.3
GOOG,Feb 2013,471.18
GOOG,Mar 2013,440.47
GOOG,Apr 2013,574.29
GOOG,May 2013,585.8
GOOG,Jun 2013,526.42
GOOG,Jul 2013,473.75
GOOG,Aug 2013,463.29
GOOG,Sep 2013,400.52
GOOG,Oct 2013,359.36
GOOG,Nov 2013,292.96
GOOG,Dec 2013,307.65
GOOG,Jan 2014,338.53
GOOG,Feb 2014,337.99
GOOG,Mar 2014,348.06
GOOG,Apr 2014,395.97
GOOG,May 2014,417.23
GOOG,Jun 2014,421.59
GOOG,Jul 2014,443.05
GOOG,Aug 2014,461.67
GOOG,Sep 2014,495.85
GOOG,Oct 2014,536.12
GOOG,Nov 2014,583
GOOG,Dec 2014,619.98
GOOG,Jan 2015,529.94
GOOG,Feb 2015,526.8
GOOG,Mar 2015,560.19
10 Year T-Note,Jan 2005,6.67
10 Year T-Note,Feb 2005,6.41
10 Year T-Note,Mar 2005,6.02
10 Year T-Note,Apr 2005,6.21
10 Year T-Note,May 2005,6.28
10 Year T-Note,Jun 2005,6.02
10 Year T-Note,Jul 2005,6.03
10 Year T-Note,Aug 2005,5.73
10 Year T-Note,Sep 2005,5.78
10 Year T-Note,Oct 2005,5.76
10 Year T-Note,Nov 2005,5.44
10 Year T-Note,Dec 2005,5.11
10 Year T-Note,Jan 2006,5.18
10 Year T-Note,Feb 2006,4.91
10 Year T-Note,Mar 2006,4.91
10 Year T-Note,Apr 2006,5.34
10 Year T-Note,May 2006,5.41
10 Year T-Note,Jun 2006,5.39
10 Year T-Note,Jul 2006,5.04
10 Year T-Note,Aug 2006,4.82
10 Year T-Note,Sep 2006,4.57
10 Year T-Note,Oct 2006,4.26
10 Year T-Note,Nov 2006,4.74
10 Year T-Note,Dec 2006,5.03
10 Year T-Note,Jan 2007,5.03
10 Year T-Note,Feb 2007,4.86
10 Year T-Note,Mar 2007,5.41
10 Year T-Note,Apr 2007,5.09
10 Year T-Note,May 2007,5.04
10 Year T-Note,Jun 2007,4.82
10 Year T-Note,Jul 2007,4.47
10 Year T-Note,Aug 2007,4.14
10 Year T-Note,Sep 2007,3.61
10 Year T-Note,Oct 2007,3.91
10 Year T-Note,Nov 2007,4.21
10 Year T-Note,Dec 2007,3.82
10 Year T-Note,Jan 2008,3.97
10 Year T-Note,Feb 2008,3.7
10 Year T-Note,Mar 2008,3.82
10 Year T-Note,Apr 2008,3.86
10 Year T-Note,May 2008,3.35
10 Year T-Note,Jun 2008,3.53
10 Year T-Note,Jul 2008,4.47
10 Year T-Note,Aug 2008,4.45
10 Year T-Note,Sep 2008,3.94
10 Year T-Note,Oct 2008,4.3
10 Year T-Note,Nov 2008,4.32
10 Year T-Note,Dec 2008,4.26
10 Year T-Note,Jan 2009,4.14
10 Year T-Note,Feb 2009,3.98
10 Year T-Note,Mar 2009,3.84
10 Year T-Note,Apr 2009,4.5
10 Year T-Note,May 2009,4.66
10 Year T-Note,Jun 2009,4.62
10 Year T-Note,Jul 2009,4.47
10 Year T-Note,Aug 2009,4.13
10 Year T-Note,Sep 2009,4.12
10 Year T-Note,Oct 2009,4.03
10 Year T-Note,Nov 2009,4.36
10 Year T-Note,Dec 2009,4.22
10 Year T-Note,Jan 2010,4.13
10 Year T-Note,Feb 2010,4.36
10 Year T-Note,Mar 2010,4.5
10 Year T-Note,Apr 2010,4.2
10 Year T-Note,May 2010,4.01
10 Year T-Note,Jun 2010,3.94
10 Year T-Note,Jul 2010,4.29
10 Year T-Note,Aug 2010,4.02
10 Year T-Note,Sep 2010,4.33
10 Year T-Note,Oct 2010,4.56
10 Year T-Note,Nov 2010,4.5
10 Year T-Note,Dec 2010,4.39
10 Year T-Note,Jan 2011,4.53
10 Year T-Note,Feb 2011,4.55
10 Year T-Note,Mar 2011,4.85
10 Year T-Note,Apr 2011,5.07
10 Year T-Note,May 2011,5.11
10 Year T-Note,Jun 2011,5.14
10 Year T-Note,Jul 2011,4.99
10 Year T-Note,Aug 2011,4.73
10 Year T-Note,Sep 2011,4.63
10 Year T-Note,Oct 2011,4.61
10 Year T-Note,Nov 2011,4.46
10 Year T-Note,Dec 2011,4.71
10 Year T-Note,Jan 2012,4.83
10 Year T-Note,Feb 2012,4.55
10 Year T-Note,Mar 2012,4.65
10 Year T-Note,Apr 2012,4.63
10 Year T-Note,May 2012,4.89
10 Year T-Note,Jun 2012,5.03
10 Year T-Note,Jul 2012,4.77
10 Year T-Note,Aug 2012,4.54
10 Year T-Note,Sep 2012,4.58
10 Year T-Note,Oct 2012,4.47
10 Year T-Note,Nov 2012,3.97
10 Year T-Note,Dec 2012,4.03
10 Year T-Note,Jan 2013,3.64
10 Year T-Note,Feb 2013,3.53
10 Year T-Note,Mar 2013,3.43
10 Year T-Note,Apr 2013,3.76
10 Year T-Note,May 2013,4.05
10 Year T-Note,Jun 2013,3.98
10 Year T-Note,Jul 2013,3.98
10 Year T-Note,Aug 2013,3.81
10 Year T-Note,Sep 2013,3.83
10 Year T-Note,Oct 2013,3.97
10 Year T-Note,Nov 2013,2.96
10 Year T-Note,Dec 2013,2.24
10 Year T-Note,Jan 2014,2.84
10 Year T-Note,Feb 2014,3.04
10 Year T-Note,Mar 2014,2.68
10 Year T-Note,Apr 2014,3.12
10 Year T-Note,May 2014,3.46
10 Year T-Note,Jun 2014,3.52
10 Year T-Note,Jul 2014,3.5
10 Year T-Note,Aug 2014,3.4
10 Year T-Note,Sep 2014,3.31
10 Year T-Note,Oct 2014,3.39
10 Year T-Note,Nov 2014,3.2
10 Year T-Note,Dec 2014,3.84
10 Year T-Note,Jan 2015,3.61
10 Year T-Note,Feb 2015,3.6
10 Year T-Note,Mar 2015,3.7
AAPL,Jan 2005,25.94
